Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
brg180;26;139820;280450;201180;1084320;1950;;;;;;;;
brg180;27;152310;274390;201180;1043830;1950;;;;;;;;
brg180;28;174520;310890;196680;1111620;1950;;;;;;;;
brg180;29;133370;345450;211180;1007210;1950;;;;;;;;
brg180;30;142470;221950;198760;990440;1950;;;;;;;;
brg180;31;171940;284070;187740;963440;1950;;;;;;;;
brg180;32;113320;382800;211180;1063860;1950;;;;;;;;
brg180;33;166770;245280;198780;1044420;1950;;;;;;;;
brg180;34;199590;316890;187750;1020420;1950;;;;;;;;
brg180;35;125740;290420;211180;1073770;1950;;;;;;;;
brg180;36;104840;301860;208740;1054230;1950;;;;;;;;
brg180;37;154300;323740;211180;1094610;1950;;;;;;;;
brg180;38;113910;203510;199820;969940;1950;;;;;;;;
brg180;39;122080;278010;191200;1073800;1950;;;;;;;;
brg180;40;123490;236530;202180;940360;1950;;;;;;;;
brg180;41;219590;296920;196680;1010930;1950;;;;;;;;
brg180;42;131430;291510;212180;1025850;1950;;;;;;;;
brg180;43;147220;213540;212180;989880;1950;;;;;;;;
brg180;44;121950;318480;187750;1029480;1950;;;;;;;;
brg180;45;146290;244360;212180;1051420;1950;;;;;;;;
brg180;46;161160;354970;208740;1043890;1950;;;;;;;;
brg180;47;184420;327300;212180;964390;1950;;;;;;;;
brg180;48;162900;277160;183280;986410;1950;;;;;;;;
brg180;49;174570;230480;206710;1099820;1950;;;;;;;;
brg180;50;121960;336270;190180;1044670;1950;;;;;;;;
brg180;51;202980;311860;212180;1041890;1950;;;;;;;;
brg180;52;209480;310420;212180;1022890;1950;;;;;;;;
brg180;53;165080;321480;196680;974370;1950;;;;;;;;
brg180;54;211020;263570;212180;956430;1950;;;;;;;;
brg180;55;178280;285040;212180;1029890;1950;;;;;;;;
brg180;56;157470;283890;187790;985180;1950;;;;;;;;
brg180;57;175240;249190;202180;980460;1950;;;;;;;;
brg180;58;99560;292450;202180;1090680;1950;;;;;;;;
brg180;59;165540;267570;183300;1004350;1950;;;;;;;;
brg180;60;164530;290950;197710;1008950;1950;;;;;;;;
brg180;61;135410;275060;202180;1006510;1950;;;;;;;;
brg180;62;172870;310070;207710;1055890;1950;;;;;;;;
brg180;63;169760;270420;199820;1019830;1950;;;;;;;;
brg180;64;153020;290130;206680;1057290;1950;;;;;;;;
brg180;65;137380;270830;189820;1124590;1950;;;;;;;;
